Taxon;AUTEUR;Synonyme ou nom erroné;Groupe;Sous-Groupe;Ordre;Super famille;Famille;Sous_famille;SYSTEMATIQUE;Commentaire
Clytus tropicus;(Panzer, 1795);;Cerambycidae;Cerambycinae;Coleoptera;Chrysomeloidea;Cerambycidae;Cerambycinae;398;
Plagionotus arcuatus;(Linnaeus, 1758);;Cerambycidae;Cerambycinae;Coleoptera;Chrysomeloidea;Cerambycidae;Cerambycinae;399;
Plagionotus detritus;(Linnaeus, 1758);;Cerambycidae;Cerambycinae;Coleoptera;Chrysomeloidea;Cerambycidae;Cerambycinae;400;
Chlorophorus figuratus;(Scopoli, 1763);;Cerambycidae;Cerambycinae;Coleoptera;Chrysomeloidea;Cerambycidae;Cerambycinae;401;
Chlorophorus glabromaculatus;(Goeze, 1777);Chlorophorus pilosus;Cerambycidae;Cerambycinae;Coleoptera;Chrysomeloidea;Cerambycidae;Cerambycinae;402;
Chlorophorus sartor;(Müller, 1766);;Cerambycidae;Cerambycinae;Coleoptera;Chrysomeloidea;Cerambycidae;Cerambycinae;403;
Chlorophorus trifasciatus;(Fabricius, 1781);;Cerambycidae;Cerambycinae;Coleoptera;Chrysomeloidea;Cerambycidae;Cerambycinae;404;
Chlorophorus varius;(Müller, 1766);;Cerambycidae;Cerambycinae;Coleoptera;Chrysomeloidea;Cerambycidae;Cerambycinae;405;
Anaglyptus mysticus;(Linnaeus, 1758);;Cerambycidae;Cerambycinae;Coleoptera;Chrysomeloidea;Cerambycidae;Cerambycinae;406;
Iberodorcadion fuliginator;(Linnaeus, 1758);Dorcadion fuliginator;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;407;
Mesosa curculionoides;(Linnaeus, 1761);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;408;
Mesosa nebulosa;(Fabricius, 1781);Aphelocnemia nebulosa;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;409;
Agapanthia asphodeli;(Latreille, 1804);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;410;
Agapanthia cardui;(Linnaeus, 1767);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;411;
Agapanthia dahli;(Richter, 1821);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;412;
Agapanthia intermedia;(Ganglbauer, 1884);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;413;
Agapanthia villosoviridescens;(De Geer, 1775);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;414;
Calamobius filum;(Rossi, 1790);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;415;
Morimus asper;(Sulzer, 1776);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;416;
Lamia textor;(Linnaeus, 1758);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;417;
Monochamus galloprovincialis;(Olivier, 1795);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;418;
Monochamus sartor;(Fabricius, 1767) ;;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;419;
Monochamus sutor;(Linnaeus, 1758);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;420;
Anaesthetis testacea;(Fabricius, 1781);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;421;
Pogonocherus caroli;(Mulsant, 1862);Eupogonocherus caroli;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;422;
Pogonocherus decoratus;(Fairmaire, 1855);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;423;
Pogonocherus fasciculatus;(De Geer, 1775);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;424;
Pogonocherus hispidulus;(Piller & Mitterpacher, 1783);Eupogonocherus hispidulus;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;425;
Pogonocherus hispidus;(Linnaeus, 1758);Eupogonocherus hispidus;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;426;
Pogonocherus ovatus;(Goeze, 1777);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;427;
Acanthocinus aedilis;(Linnaeus, 1758);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;428;
Acanthocinus griseus;(Fabricius, 1792);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;429;
Acanthocinus reticulatus;(Razoumowsky, 1789);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;430;
Leiopus femoratus;(Fairmaire, 1859);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;431;
Leiopus nebulosus;(Linnaeus, 1758);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;432;
Leiopus punctulatus;(Paykull, 1800);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;433;
Exocentrus adspersus;Mulsant, 1846;;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;434;
Exocentrus lusitanus;(Linnaeus, 1767);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;435;
Exocentrus punctipennis;Mulsant et Guillebeau, 1856;;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;436;
Aegomorphus clavipes;(Schrank, 1781);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;437;
Saperda carcharias;(Linnaeus, 1758);Anaerea carcharias;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;438;
Saperda perforata;(Pallas, 1773);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;439;
Saperda populnea;(Linnaeus, 1758);Compsidia populnea;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;440;
Saperda punctata;(Linnaeus, 1767);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;441;
Saperda scalaris;(Linnaeus, 1758);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;442;
Saperda similis;(Laicharting, 1784);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;443;
Stenostola dubia;(Laicharting, 1784);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;444;
Musaria rubropunctata;(Goeze, 1777);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;445;
Opsilia coerulescens;(Scopoli, 1763);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;446;
Phytoecia cylindrica;(Linnaeus, 1758);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;447;
Phytoecia icterica;(Schaller, 1783);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;448;
Phytoecia nigricornis;(Fabricius, 1781);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;449;
Phytoecia pustulata;(Schrank, 1776);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;450;
Oberea oculata;(Linnaeus, 1758);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;451;
Oberea pupillata;(Gyllenhal, 1817);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;452;
Oberea linearis;(Linnaeus, 1761);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;453;
Oberea erythrocephala;(Schrank, 1776);;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;454;
Tetrops praeustus;(Linnaeus, 1758);Tetrops praeusta;Cerambycidae;Lamiinae;Coleoptera;Chrysomeloidea;Cerambycidae;Lamiinae;455;
Rhagades pruni;(Denis & Schiffermüller, 1775);;Zygaenidae;Procridinae;Lepidoptera;Zygaenoidea;Zygaenidae;Procridinae;456;
Jordanita globulariae;(Hübner, 1793);;Zygaenidae;Procridinae;Lepidoptera;Zygaenoidea;Zygaenidae;Procridinae;457;
Adscita mannii;(Lederer, 1853);;Zygaenidae;Procridinae;Lepidoptera;Zygaenoidea;Zygaenidae;Procridinae;458;
Adscita statices;(Linnaeus, 1758);;Zygaenidae;Procridinae;Lepidoptera;Zygaenoidea;Zygaenidae;Procridinae;459;
Aglaope infausta;(Linnaeus, 1767);;Zygaenidae;Chalcosiinae;Lepidoptera;Zygaenoidea;Zygaenidae;Chalcosiinae;460;
Zygaena sarpedon;(Hübner, 1790);;Zygaenidae;Zygaeninae;Lepidoptera;Zygaenoidea;Zygaenidae;Zygaeninae;461;
Zygaena carniolica;(Scopoli, 1763);;Zygaenidae;Zygaeninae;Lepidoptera;Zygaenoidea;Zygaenidae;Zygaeninae;462;
Zygaena loti;(Denis & Schiffermüller, 1775);;Zygaenidae;Zygaeninae;Lepidoptera;Zygaenoidea;Zygaenidae;Zygaeninae;463;
Zygaena ephialtes;(Linnaeus, 1767);;Zygaenidae;Zygaeninae;Lepidoptera;Zygaenoidea;Zygaenidae;Zygaeninae;464;
Zygaena transalpina;(Esper, 1780);;Zygaenidae;Zygaeninae;Lepidoptera;Zygaenoidea;Zygaenidae;Zygaeninae;465;
Zygaena filipendulae;(Linnaeus, 1758);;Zygaenidae;Zygaeninae;Lepidoptera;Zygaenoidea;Zygaenidae;Zygaeninae;466;
Zygaena trifolii;(Esper, 1783);;Zygaenidae;Zygaeninae;Lepidoptera;Zygaenoidea;Zygaenidae;Zygaeninae;467;
Trichiura crataegi;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;468;
Poecilocampa populi;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;469;
Eriogaster lanestris;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;470;
Eriogaster rimicola;(Denis & Schiffermüller, 1775);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;471;
Eriogaster catax;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;472;
Malacosoma neustria;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;473;
Malacosoma castrensis;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;474;
Malacosoma franconica;(Denis & Schiffermüller, 1775);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;475;
Lasiocampa trifolii;(Denis & Schiffermüller, 1775);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;476;
Lasiocampa quercus;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;477;
Macrothylacia rubi;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;478;
Dendrolimus pini;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;479;
Odonestis pruni;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;480;
Euthrix potatoria;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;481;
Phyllodesma ilicifolia;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;482;
Phyllodesma tremulifolia;(Hübner, 1810);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;483;
Gastropacha quercifolia;(Linnaeus, 1758);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;484;
Gastropacha populifolia;(Denis & Schiffermüller, 1775);;Hétérocères;Lasiocampiidae;Lepidoptera;Lasiocampoidea;Lasiocampiidae;;485;
Endromis versicolora;(Linnaeus, 1758);;Hétérocères;Bombycoidea;Lepidoptera;Bombycoidea;Endromidae;;486;
Aglia tau;(Linnaeus, 1758);;Hétérocères;Bombycoidea;Lepidoptera;Bombycoidea;Saturniidae;;487;
Saturnia pyri;(Denis & Schiffermüller, 1775);;Hétérocères;Bombycoidea;Lepidoptera;Bombycoidea;Saturniidae;;488;
Saturnia pavonia;(Linnaeus, 1758);;Hétérocères;Bombycoidea;Lepidoptera;Bombycoidea;Saturniidae;;489;
Lemonia dumi;(Linnaeus, 1761);;Hétérocères;Bombycoidea;Lepidoptera;Bombycoidea;Brahmaeidae;;490;
Marumba quercus;(Denis & Schiffermüller, 1775);;Hétérocères;Bombycoidea;Lepidoptera;Bombycoidea;Sphingiidae;;491;
Mimas tiliae;(Linnaeus, 1758);;Hétérocères;Bombycoidea;Lepidoptera;Bombycoidea;Sphingiidae;;492;
Smerinthus ocellata;(Linnaeus, 1758);;Hétérocères;Bombycoidea;Lepidoptera;Bombycoidea;Sphingiidae;;493;
Laothoe populi;(Linnaeus, 1758);;Hétérocères;Bombycoidea;Lepidoptera;Bombycoidea;Sphingiidae;;494;
Agrius convolvuli;(Linnaeus, 1758);;Hétérocères;Bombycoidea;Lepidoptera;Bombycoidea;Sphingiidae;;495;
